,acousticness,danceability,energy,instrumentalness,popularity,speechiness
0,0.991,0.598,0.2239999999999999,0.000522,12,0.0936
1,0.643,0.852,0.517,0.0264,7,0.0534
2,0.993,0.647,0.186,1.76e-05,4,0.174
3,0.000173,0.73,0.7979999999999999,0.8009999999999999,17,0.0425
4,0.295,0.7040000000000001,0.7070000000000001,0.000246,2,0.0768
5,0.996,0.424,0.245,0.799,9,0.0397
6,0.992,0.782,0.0573,1.61e-06,5,0.0592
7,0.996,0.474,0.239,0.186,0,0.0289
8,0.996,0.469,0.238,0.96,0,0.0741
9,0.00682,0.5710000000000001,0.753,0.873,0,0.0446
10,0.952,0.688,0.22,0.0,0,0.845
11,0.996,0.579,0.356,0.948,0,0.0394
12,0.992,0.353,0.396,0.924,0,0.0447
13,0.0047799999999999,0.643,0.998,0.476,0,0.0566
14,0.993,0.4529999999999999,0.41,0.16,0,0.044
15,0.979,0.525,0.433,0.111,0,0.0488
16,0.972,0.528,0.325,0.0234,0,0.0421
17,0.996,0.4679999999999999,0.5329999999999999,0.87,0,0.0452
18,0.75,0.528,0.456,0.439,0,0.0371
19,0.993,0.397,0.484,0.179,0,0.0498
20,0.0239,0.7440000000000001,0.428,3.07e-05,8,0.0376
21,0.939,0.465,0.611,0.8859999999999999,0,0.0469
22,0.0808,0.389,0.81,0.918,0,0.109
23,0.0105,0.763,0.363,0.0,1,0.1689999999999999
24,1.16e-05,0.568,0.7290000000000001,0.912,3,0.0312
25,0.25,0.521,0.7759999999999999,0.00088,0,0.268
26,0.959,0.603,0.3720000000000001,0.0129,0,0.0741
27,0.984,0.2689999999999999,0.255,0.00263,0,0.0536
28,0.381,0.936,0.3720000000000001,0.0,0,0.455
29,0.984,0.58,0.422,0.7879999999999999,0,0.0385
30,0.944,0.6559999999999999,0.292,0.0,0,0.126
31,0.0323,0.6970000000000001,0.617,0.902,0,0.0609
32,0.996,0.613,0.2739999999999999,0.428,0,0.225
33,0.0397,0.369,0.321,0.0,0,0.0278
34,0.021,0.5589999999999999,0.83,0.146,0,0.0546
35,0.00397,0.6409999999999999,0.292,0.000121,1,0.0571
36,0.79,0.745,0.7909999999999999,0.0,0,0.0595
37,0.00744,0.737,0.3279999999999999,1.64e-06,0,0.0526
38,0.0017399999999999,0.602,0.5920000000000001,0.898,0,0.0439
39,0.31,0.639,0.552,0.855,0,0.0374
40,0.995,0.482,0.2289999999999999,6.05e-05,4,0.0812
41,0.986,0.6409999999999999,0.1689999999999999,0.0,0,0.13
42,0.995,0.534,0.191,0.0982,0,0.0508
43,0.083,0.84,0.7240000000000001,0.0,0,0.251
44,0.000103,0.779,0.7240000000000001,0.887,0,0.0482
45,1.75e-05,0.49,0.922,0.855,0,0.0771
46,0.147,0.603,0.7190000000000001,0.0,0,0.0271
47,0.3670000000000001,0.716,0.836,5.81e-06,0,0.0451
48,0.6890000000000001,0.69,0.324,0.0,0,0.0726
49,0.983,0.5529999999999999,0.375,0.223,0,0.0336
50,0.964,0.23,0.396,0.0742,0,0.0363
51,0.365,0.565,0.255,0.000287,0,0.048
52,0.021,0.8140000000000001,0.705,0.821,0,0.0622
53,0.963,0.498,0.336,0.143,0,0.04
54,0.994,0.487,0.298,0.0,0,0.098
55,0.435,0.68,0.939,0.879,0,0.0649
56,0.996,0.575,0.247,0.0684,0,0.04
57,0.938,0.368,0.275,0.0,0,0.052
58,0.73,0.72,0.718,3.11e-06,0,0.0336
59,0.996,0.679,0.182,0.6679999999999999,0,0.0693
60,0.989,0.623,0.3389999999999999,0.0,0,0.121
61,0.336,0.652,0.647,0.321,0,0.0337
62,0.934,0.306,0.498,0.00198,0,0.0367
63,0.996,0.369,0.285,0.938,0,0.0528
64,0.995,0.287,0.621,0.784,0,0.0394
65,0.995,0.716,0.25,0.0,0,0.0726
66,0.972,0.632,0.422,0.0109,0,0.0597
67,0.2189999999999999,0.609,0.322,0.848,0,0.0359
68,0.1669999999999999,0.828,0.467,0.933,0,0.122
69,0.0084599999999999,0.831,0.586,0.789,0,0.12
70,0.52,0.7070000000000001,0.324,0.000558,0,0.0253
71,0.0403,0.6659999999999999,0.914,0.731,0,0.0305
72,0.0828,0.8540000000000001,0.555,0.315,0,0.0747
73,0.7759999999999999,0.792,0.532,0.0,1,0.3279999999999999
74,0.214,0.89,0.413,0.0,0,0.226
75,0.0786,0.792,0.266,2.45e-06,0,0.0925
76,0.993,0.257,0.284,0.0518,0,0.0322
77,0.2289999999999999,0.747,0.708,0.0,0,0.0297
78,0.6459999999999999,0.439,0.32,0.873,0,0.0675
79,0.988,0.5770000000000001,0.147,0.0,0,0.121
